# UTIAS Multi-Robot Cooperative Localization and Mapping Dataset
# produced by Keith Leung (keith.leung@robotics.utias.utoronto.ca) 2009
# Robot Groundtruth Data Fomat:
# Time [s]    x [m]    y [m]    orientation [rad] 
1248272263.325 	 4.38279830 	 2.46284470 	 -2.34880000 
1248272263.346 	 4.38274100 	 2.46282390 	 -2.34880000 
1248272263.377 	 4.38280350 	 2.46278750 	 -2.34870000 
1248272263.399 	 4.38280250 	 2.46279320 	 -2.34870000 
1248272263.424 	 4.38279360 	 2.46279760 	 -2.34880000 
1248272263.443 	 4.38280510 	 2.46278240 	 -2.34880000 
1248272263.472 	 4.38272020 	 2.46278370 	 -2.34880000 
1248272263.493 	 4.38271440 	 2.46275760 	 -2.34880000 
1248272263.523 	 4.38279630 	 2.46284150 	 -2.34890000 
1248272263.543 	 4.38278690 	 2.46284080 	 -2.34880000 
1248272263.580 	 4.38279500 	 2.46284760 	 -2.34880000 
1248272263.583 	 4.38280160 	 2.46285740 	 -2.34870000 
1248272263.621 	 4.38271160 	 2.46276800 	 -2.34870000 
1248272263.623 	 4.38268790 	 2.46277590 	 -2.34880000 
1248272263.668 	 4.38277630 	 2.46277770 	 -2.34890000 
1248272263.689 	 4.38272610 	 2.46278060 	 -2.34890000 
1248272263.717 	 4.38282290 	 2.46284450 	 -2.34880000 
1248272263.737 	 4.38279510 	 2.46283630 	 -2.34880000 
1248272263.768 	 4.38273450 	 2.46285890 	 -2.34880000 
1248272263.790 	 4.38276980 	 2.46285640 	 -2.34880000 
1248272263.815 	 4.38270830 	 2.46282370 	 -2.34890000 
1248272263.840 	 4.38274610 	 2.46283570 	 -2.34890000 
1248272263.868 	 4.38274060 	 2.46279270 	 -2.34890000 
1248272263.888 	 4.38272160 	 2.46279930 	 -2.34890000 
1248272263.922 	 4.38281760 	 2.46280050 	 -2.34880000 
1248272263.969 	 4.38284230 	 2.46278400 	 -2.34880000 
1248272263.990 	 4.38284240 	 2.46276970 	 -2.34880000 
1248272264.016 	 4.38276940 	 2.46284910 	 -2.34890000 
1248272264.037 	 4.38283530 	 2.46285580 	 -2.34890000 
1248272264.068 	 4.38272220 	 2.46285960 	 -2.34870000 
1248272264.090 	 4.38274910 	 2.46284280 	 -2.34870000 
1248272264.117 	 4.38274420 	 2.46278280 	 -2.34880000 
1248272264.137 	 4.38269350 	 2.46277650 	 -2.34880000 
1248272264.169 	 4.38283450 	 2.46281160 	 -2.34880000 
1248272264.192 	 4.38278220 	 2.46280760 	 -2.34880000 
1248272264.215 	 4.38280680 	 2.46280940 	 -2.34880000 
1248272264.236 	 4.38282320 	 2.46281010 	 -2.34880000 
1248272264.266 	 4.38268240 	 2.46284470 	 -2.34890000 
1248272264.288 	 4.38276660 	 2.46286970 	 -2.34890000 
1248272264.319 	 4.38271740 	 2.46286800 	 -2.34890000 
1248272264.340 	 4.38271960 	 2.46288040 	 -2.34880000 
1248272264.369 	 4.38273430 	 2.46281900 	 -2.34860000 
1248272264.390 	 4.38265720 	 2.46281250 	 -2.34860000 
1248272264.416 	 4.38282070 	 2.46277230 	 -2.34890000 
1248272264.436 	 4.38279630 	 2.46279780 	 -2.34900000 
1248272264.467 	 4.38279470 	 2.46284620 	 -2.34890000 
1248272264.488 	 4.38284490 	 2.46285200 	 -2.34880000 
1248272264.519 	 4.38266800 	 2.46285540 	 -2.34860000 
1248272264.540 	 4.38275230 	 2.46285310 	 -2.34870000 
1248272264.567 	 4.38271480 	 2.46283690 	 -2.34870000 
1248272264.591 	 4.38271720 	 2.46284370 	 -2.34880000 
1248272264.623 	 4.38279630 	 2.46284150 	 -2.34890000 
1248272264.625 	 4.38273720 	 2.46282900 	 -2.34890000 
1248272264.667 	 4.38284730 	 2.46278990 	 -2.34890000 
1248272264.689 	 4.38282900 	 2.46278790 	 -2.34890000 
1248272264.714 	 4.38278470 	 2.46282060 	 -2.34880000 
1248272264.735 	 4.38283150 	 2.46282660 	 -2.34880000 
1248272264.769 	 4.38270420 	 2.46284090 	 -2.34880000 
1248272264.791 	 4.38274610 	 2.46284540 	 -2.34880000 
1248272264.820 	 4.38272220 	 2.46285510 	 -2.34890000 
1248272264.841 	 4.38270480 	 2.46285390 	 -2.34890000 
1248272264.868 	 4.38279030 	 2.46281540 	 -2.34880000 
1248272264.889 	 4.38272340 	 2.46282300 	 -2.34880000 
1248272264.917 	 4.38280490 	 2.46283560 	 -2.34880000 
1248272264.939 	 4.38279940 	 2.46286540 	 -2.34880000 
1248272264.970 	 4.38275980 	 2.46289950 	 -2.34870000 
1248272264.991 	 4.38278970 	 2.46289230 	 -2.34870000 
1248272265.015 	 4.38270540 	 2.46282500 	 -2.34880000 
1248272265.040 	 4.38275610 	 2.46281130 	 -2.34890000 
